GO	Genes	Gene_Count	Term_Description	50perc_contaminated_Genes	100perc_contaminated_Genes	Genes enriched term id	Genes enriched term description	Genes adj p-value	Genes overlap over enriched	Genes overlaping genes	50perc_contaminated_Genes enriched term id	50perc_contaminated_Genes enriched term description	50perc_contaminated_Genes adj p-value	50perc_contaminated_Genes overlap over enriched	50perc_contaminated_Genes overlaping genes	100perc_contaminated_Genes enriched term id	100perc_contaminated_Genes enriched term description	100perc_contaminated_Genes adj p-value	100perc_contaminated_Genes overlap over enriched	100perc_contaminated_Genes overlaping genes
GO:0045599	ZFPM2 WNT3A LRP3 SIRT1 YAP1 CCDC85B TGFB1 DDIT3 TGFB1I1 GPS2 TLCD3B ZFP36L2 TRIB2 PTGR3 RORA SORT1 ENPP1 INSIG1 RUNX1T1 WNT5A WNT1 JAG1 SIRT2 ANKRD26 FLCN SOD2 FOXO1 GATA2 BMP2 TNF SLC7A10 GPER1 FERMT2 BBS12 C1QL4 CCN4 E2F1 BMAL1 AXIN1 MMP11 ID4 JDP2 TRPV4 IL6 WNT10B ADIPOQ TRIB3 MSX2 SMAD3 TRIO ASXL1 WWTR1	52	negative regulation of fat cell differentiation	CCN4 SMAD3 SLC7A10 MSX2 JDP2 AXIN1 JAG1 SIRT2 WWTR1 TRIO GPER1 INSIG1 DDIT3 ZFPM2 SORT1 TNF WNT5A WNT1 WNT3A TRIB3 ENPP1 BMAL1 WNT10B BBS12 RORA GPS2 ABHD14B MXRA5 IL13RA2 RAB7A PSME3 BAZ1A SUMO4 HFM1 LRP10 SLC35C1 EEF1G CALM2 METTL21A SFTPA2 SLCO6A1 SLC35E4 PDS5B CAPN5 CD3D MVK CRIP1 TTLL12 OR5L1 TAFA3 PTTG2 NAPRT	GAB4 FMOD AGO2 HSD17B1 LPAR3 IL10 AGAP2 SLC2A10 FEZ1 AK2 PKMYT1 GTF2E1 SYNJ2BP STK24 USO1 MMP8 HS3ST6 HOXC10 TRMO BOLA2B MTHFD2 BET1 GLI2 TTN RASSF7 SRPK3 DLX5 GRAP CCL5 TSSK3 NDUFA10 SH3TC1 PLA2G4E STPG1 YTHDF3 VTA1 OPRK1 PDCD2L ZNF512B GSTM1 STK32A CDCA5 ZNF683 TDP1 TEX12 CDK14 MTF1 MRPL55 BCL3 TAMM41 SFRP4 AOPEP	GO:0045599	negative regulation of fat cell differentiation	3.137569985024738e-149	52/52	RORA,TRPV4,GPER1,IL6,YAP1,ID4,MSX2,TRIO,FERMT2,RUNX1T1,TRIB3,BBS12,GATA2,MMP11,TRIB2,WNT10B,INSIG1,TNF,SLC7A10,SIRT1,DDIT3,SOD2,WNT1,ZFP36L2,JAG1,SMAD3,FLCN,ANKRD26,ASXL1,WNT3A,LRP3,TGFB1,BMP2,TLCD3B,PTGR3,WWTR1,FOXO1,ADIPOQ,BMAL1,SORT1,TGFB1I1,SIRT2,ZFPM2,GPS2,CCN4,ENPP1,WNT5A,E2F1,JDP2,AXIN1,C1QL4,CCDC85B	GO:0045599	negative regulation of fat cell differentiation	2.872509140210652e-51	26/52	RORA,GPER1,MSX2,TRIO,TRIB3,BBS12,WNT10B,INSIG1,TNF,SLC7A10,DDIT3,WNT1,JAG1,SMAD3,WNT3A,WWTR1,BMAL1,SORT1,SIRT2,ZFPM2,GPS2,CCN4,ENPP1,WNT5A,JDP2,AXIN1	GO:0044237	cellular metabolic process	0.1796177214415499	41/9600	TRMO,GTF2E1,GSTM1,SRPK3,LPAR3,ZNF683,BOLA2B,TDP1,TTN,ZNF512B,CCL5,IL10,AGAP2,AGO2,AK2,VTA1,PKMYT1,HS3ST6,MRPL55,DLX5,FEZ1,STPG1,CDK14,TSSK3,BCL3,STK32A,MMP8,GLI2,SLC2A10,PLA2G4E,HSD17B1,SFRP4,TEX12,TAMM41,CDCA5,MTF1,HOXC10,NDUFA10,STK24,MTHFD2,YTHDF3
GO:0051657	ATP2A1 SIRT1 UVRAG AKAP9 ASPM PAFAH1B1 GPSM2 TBCCD1 GCOM1 POLR2M MYZAP SPOUT1 ARHGAP21	13	maintenance of organelle location	TBCCD1 UVRAG MYZAP PAFAH1B1 ASPM ATP2A1 FBXO9 CYB5R3 SH3PXD2A MDGA1 AFTPH RAB11FIP1 RTP4	ACADVL UVSSA DDX42 MYL6B TGM7 PAQR5 PRSS3 NTAN1 BTAF1 STAT4 MOB1A SULT6B1 EIF3K	GO:0051657	maintenance of organelle location	7.61458134377829e-43	13/13	SIRT1,GCOM1,UVRAG,PAFAH1B1,POLR2M,ATP2A1,SPOUT1,GPSM2,TBCCD1,ASPM,AKAP9,ARHGAP21,MYZAP	GO:0051657	maintenance of organelle location	6.515425586540687e-14	6/13	UVRAG,PAFAH1B1,ATP2A1,TBCCD1,ASPM,MYZAP	GO:0046322	negative regulation of fatty acid oxidation	0.3701553066819338	1/14	ACADVL
GO:0045940	STAR WNT4 ADM APOE CES1 STARD4 NR1D1 TNF FSHB BMP6 CGA APOA1 SCAP PRKAA1 IGF1R SREBF2 IL1A FGF1 LDLRAP1 ABCG4 IFNG CYP7A1 DAB2 SREBF1 ABCG1	25	positive regulation of steroid metabolic process	WNT4 IL1A FSHB DAB2 IFNG ABCG1 APOA1 STAR CGA STARD4 CYP7A1 IGF1R HPS1 ESCO1 SRP9 CSTB EYS ZNF776 CYP2W1 ZNF319 ARL11 ZC3H12D CLDN24 PTPN5 CDKN2B	CALD1 VPS29 MTRF1 MVP GTF2I CC2D1B EPHA7 SPACA9 UBQLN4 PPP2R3B AURKA H2AC25 TRIM29 PKDCC LGALS7 LPAR6 PRDM12 DCDC1 SMARCAL1 PCDHA13 OR12D3 ND3 LARP4 ZIM2 GSTA2	GO:0045940	positive regulation of steroid metabolic process	6.672948766394686e-78	25/25	FSHB,IL1A,LDLRAP1,APOE,BMP6,SREBF2,STAR,IFNG,TNF,FGF1,CYP7A1,ABCG1,ADM,PRKAA1,IGF1R,APOA1,NR1D1,CGA,WNT4,DAB2,SREBF1,ABCG4,CES1,STARD4,SCAP	GO:0045940	positive regulation of steroid metabolic process	3.877636835251968e-26	12/25	FSHB,IL1A,APOA1,ABCG1,CYP7A1,STAR,CGA,STARD4,WNT4,DAB2,IFNG,IGF1R	GO:1900195	positive regulation of oocyte maturation	0.4002922472345092	1/3	AURKA
GO:0010757	PLAU CTSZ THBS1 SERPINF2 SERPINE1 SERPINE2 CPB2 PLAT	8	negative regulation of plasminogen activation	CPB2 SERPINE1 PLAU THBS1 ZNF737 SMDT1 XPNPEP2 LRRC32	ADAMTS17 CEP63 LRRC18 SUPT3H FUBP1 KCNK4 RPL27A LRWD1	GO:0010757	negative regulation of plasminogen activation	4.8910719098365726e-27	8/8	CPB2,PLAU,THBS1,PLAT,CTSZ,SERPINE2,SERPINE1,SERPINF2	GO:0010757	negative regulation of plasminogen activation	9.771129014010246e-10	4/8	SERPINE1,THBS1,CPB2,PLAU	GO:0071469	cellular response to alkaline pH	0.0878759292409378	1/2	KCNK4
GO:2000136	GNG5 TBX5 ISL1 RBPJ CTNNB1 NOTCH1 SMAD4 EYA1 BMP10 SOX9 HES1 ENG MKS1 SIX1 TBX3 HAND2 PIM1 BMPR2	18	regulation of cell proliferation involved in heart morphogenesis	MKS1 BMP10 EYA1 SMAD4 HAND2 GNG5 RBPJ SIX1 ENG FBXO38 MRPL22 NCOA7 APCDD1 ZNF689 DNAJC17 UBE2G2 THNSL1 DNAJC27	MGMT GPHN BANK1 NDP IL1F10 IKBKG PARD3 INCENP SSUH2 CCL7 SIAH3 ADD3 P2RY11 HELQ NIPSNAP2 IL17RC SNTA1 NCAPD2	GO:2000136	regulation of cell proliferation involved in heart morphogenesis	9.473172383718871e-58	18/18	PIM1,BMPR2,SMAD4,EYA1,TBX5,TBX3,ISL1,MKS1,SIX1,BMP10,NOTCH1,ENG,HES1,HAND2,SOX9,RBPJ,CTNNB1,GNG5	GO:2000136	regulation of cell proliferation involved in heart morphogenesis	8.287492294966794e-21	9/18	SMAD4,EYA1,MKS1,BMP10,ENG,HAND2,SIX1,RBPJ,GNG5	GO:0019229	regulation of vasoconstriction	0.1542622345591912	2/68	ADD3,SNTA1
GO:0002433	PLPP4 LYN PRKCE APPL1 PRKCD FYN VAV1 YES1 MYO1G PLA2G6 LIMK1 VAV2 PTK2 HCK APPL2 ABL1 VAV3 PLD2 FGR SYK SRC PAK1	22	immune response-regulating cell surface receptor signaling pathway involved in phagocytosis	ABL1 VAV3 APPL2 LYN FGR SYK PRKCE PRKCD PLPP4 HCK SRC CNNM3 STRN4 ZNF529 WDR5B ZNF841 BMERB1 H2AC15 HSPB8 TVP23C PSMG3 MSTN	JAML PRKCSH PIM1 EID2 EPO UBE4A MRPL9 ASB18 SEC61B TAF1B OR52M1 SRSF10 GRWD1 HSDL2 EDIL3 EIF4G3 LTV1 PHEX PRAF2 PRSS12 UFSP1 NOC4L	GO:0002433	Fc-gamma receptor signaling pathway involved in phagocytosis	9.627899157408016e-70	22/22	HCK,SYK,PLD2,PLA2G6,MYO1G,LYN,VAV1,PTK2,PLPP4,PRKCD,APPL2,VAV3,APPL1,FYN,ABL1,FGR,SRC,VAV2,PRKCE,YES1,PAK1,LIMK1	GO:0038096	Fc-gamma receptor signaling pathway involved in phagocytosis	5.617672847968909e-25	11/22	LYN,ABL1,FGR,PLPP4,SRC,HCK,SYK,PRKCE,PRKCD,APPL2,VAV3	GO:0033273	response to vitamin	0.1149619524763492	3/87	PHEX,PIM1,EPO
GO:1990874	DBH NF1 ERN1 MMP2 HPGD IGFBP5 TGFB3 DDIT3 MAP3K5 PDCD4 CDKN1A FOXJ2 RBM10 NR4A3 CDKN1B MYOCD TERT IGF1 EDN1 SOD2 PTEN PDGFB CNN1 TNF GPER1 MAP3K7 FRS2 NDRG2 CALCRL IL10 MEF2C POLDIP2 HTR1B FGFR2 EFEMP2 TPM1 FGF9 BMPR1A ADAMTS1 GNAI2 GNA12 DDR2 LDLRAP1 MDM2 APLN MEF2D ADIPOQ DNMT1 JUN JAK2 PPARG PRKG1 FGF2 MFN2 BMP4 GNA13 TAFA5 SRC MMP9 P2RY6 GJA1	61	vascular associated smooth muscle cell proliferation	MAP3K7 PDGFB HPGD CDKN1A IGFBP5 EFEMP2 FGF9 TGFB3 IL10 MYOCD NDRG2 DNMT1 MEF2C EDN1 POLDIP2 DBH TPM1 P2RY6 NF1 DDR2 MEF2D JAK2 PRKG1 BMPR1A MMP9 APLN ERN1 MFN2 CDKN1B ADAMTS1 MEIS1 SLC25A5 MAPK13 APOC4 MAGEE1 ILDR2 PTGS1 RASA4 YPEL3 COLEC12 SKIC8 RBBP9 RFPL2 BMP10 KCNA7 NDUFA9 TRIM9 CCZ1B MYO1G RASA4B ZNF606 TMPRSS3 PPP1CC SP6 DEFB1 OR10C1 MINPP1 ELMO3 HAAO TPSAB1 ACAD8	GARNL3 OR1J1 SPP2 USP17L2 ARMH3 ANKRD13A HELZ OR10J1 C9orf78 FAM174B SLC25A29 CELA2B TUBA3D DRP2 SLC35F6 ADAMTSL4 MRPL58 CCHCR1 CHRNA2 ADAM17 CLIP4 PSPH PTPN4 TCEA3 HAL CEP112 HTR3C CDC26 MUC2 GALNT12 PGAP1 EID2 VPS39 UBE2I XK ZNF268 MTCL1 RTP4 C19orf18 ITGB1 RAD1 PSTK MTCP1 SF3A3 CAMK2A IFNL4 NLRP2 PTGES3 MTRR OPA3 GPR34 CCDC134 BAP1 CLN3 SHH HCAR1 WDR54 PIK3R6 PCDH18 SSU72 RTTN	GO:1990874	vascular associated smooth muscle cell proliferation	1.8544399591998581e-171	61/61	GPER1,DBH,LDLRAP1,ERN1,MAP3K5,FRS2,APLN,PPARG,GNA13,BMPR1A,BMP4,POLDIP2,NDRG2,JAK2,TNF,HPGD,NR4A3,DDIT3,SOD2,IL10,CDKN1A,FGFR2,PDCD4,JUN,MEF2C,CALCRL,TGFB3,PDGFB,GJA1,FGF9,MYOCD,MEF2D,TPM1,MMP2,MFN2,FOXJ2,NF1,MDM2,GNA12,MAP3K7,ADIPOQ,FGF2,PTEN,HTR1B,GNAI2,TERT,TAFA5,P2RY6,EDN1,IGF1,MMP9,IGFBP5,SRC,EFEMP2,DDR2,RBM10,ADAMTS1,DNMT1,CDKN1B,CNN1,PRKG1	GO:1990874	vascular associated smooth muscle cell proliferation	4.8755731217784553e-57	30/61	DBH,ERN1,APLN,BMPR1A,POLDIP2,NDRG2,JAK2,HPGD,IL10,CDKN1A,MEF2C,TGFB3,PDGFB,FGF9,MYOCD,MEF2D,TPM1,MFN2,NF1,MAP3K7,P2RY6,EDN1,MMP9,IGFBP5,EFEMP2,DDR2,ADAMTS1,DNMT1,CDKN1B,PRKG1	GO:0035313	wound healing, spreading of epidermal cells	0.283984521611875	2/22	ITGB1,ADAM17
GO:0002792	ADRA2A KCNB1 SFRP1 IRS1 GHSR CRH LEP CD74 PFKL REST FFAR2 HADH UCP2 VSNL1 KCNJ11 FOXO1 KLF7 CRHBP GNAZ PSMD9 FKBP1B ACVR1C MIDN MTNR1B CCN3 SIRT4 DRD2 GHRL NDUFAF2 JAGN1 SYTL4 F2RL1 PPP3CA ABCC8 CARTPT PIM3 PTPN11 FFAR4 PRKN INHBB CHGA SREBF1 FAM3D ENY2 PDE8B BMP8A	46	negative regulation of peptide secretion	ADRA2A PPP3CA FOXO1 CHGA SFRP1 SREBF1 FAM3D LEP PDE8B DRD2 FFAR4 UCP2 BMP8A PIM3 CD74 CCN3 MIDN INHBB SYTL4 CARTPT SIRT4 PRKN PFKL SEPTIN2 COL4A5 OR4D2 NCR2 H3C15 ACTR2 AGTRAP MT1HL1 MIS12 ITGA10 OR14C36 MAPK7 COL18A1 RECQL5 HECW1 METTL23 UNC50 JUN TLDC2 PMPCB ASNS PROKR2 ATM	DCAF7 CIBAR2 GPNMB HAND1 ATP5MG MRI1 MOCOS CYP27A1 ENTR1 ZNF358 PLAGL1 DHX33 LRRC40 PCDHGB1 NEPRO ABHD5 PMM2 SRSF2 EPPIN-WFDC6 SDHD SNRPD3 KCNK9 PLAAT3 RXRB CFAP91 KLHL22 GDPGP1 DMRT3 BTLA DAAM1 ADAM2 TAF2 BCS1L LRTM2 CDK5R2 PPM1D PSMG2 ATP2C1 HSD17B10 THSD4 SYT2 DIS3L2 PLA2G2D PSMC3IP IDS TGM1	GO:0002792	negative regulation of peptide secretion	4.1458698708308e-134	46/46	KCNB1,MTNR1B,NDUFAF2,PTPN11,PSMD9,REST,FFAR4,BMP8A,KCNJ11,PDE8B,ADRA2A,CRHBP,PRKN,GHSR,DRD2,SIRT4,UCP2,MIDN,GNAZ,FKBP1B,VSNL1,FFAR2,PFKL,IRS1,ACVR1C,ENY2,SYTL4,LEP,ABCC8,CD74,CRH,CARTPT,KLF7,CHGA,JAGN1,FOXO1,GHRL,PIM3,SFRP1,F2RL1,SREBF1,PPP3CA,INHBB,FAM3D,HADH,CCN3	GO:0002792	negative regulation of peptide secretion	2.2747089064553793e-46	23/46	FFAR4,BMP8A,PDE8B,ADRA2A,PRKN,DRD2,SIRT4,UCP2,MIDN,PFKL,SYTL4,LEP,CD74,CARTPT,CHGA,FOXO1,PIM3,SFRP1,SREBF1,PPP3CA,INHBB,FAM3D,CCN3	GO:0036261	7-methylguanosine cap hypermethylation	0.2844342069551581	1/8	SNRPD3
GO:1900368	PUM1 MAEL TIAL1 RIPK1 TP53 FXR1 BCDIN3D FMR1 ADAR ZC3H10 DGCR8 DND1 TRUB1 PUM2 ZMPSTE24 LIN28B STAT3 MECP2 ELAVL1 TRIM71 IL6 ZFP36 BMP4 LIN28A TGFB1	25	regulation of post-transcriptional gene silencing by regulatory ncRNA	BMP4 ZMPSTE24 MAEL PUM2 ELAVL1 ZFP36 LIN28B IL6 TIAL1 TGFB1 FMR1 RIPK1 SLC8A3 ASCL3 ATP6V1G3 SERPINF1 ZNF283 CATSPERB COL3A1 AK5 XKR9 TOPBP1 UNC13A CPNE9 OR9K2	GPR75-ASB3 ELOC ADORA2B RPL41 PFDN5 PPP1R12C CPSF6 UNC13C ZBTB49 PSMA5 LETMD1 MAOA PTGS2 OR8H2 CBX3 ZNF285 ZNF507 FBXO44 ARHGAP27 ACAD8 TBC1D31 TRIML1 GP2 DBX1 CDX2	GO:1900368	regulation of post-transcriptional gene silencing by regulatory ncRNA	6.791966877567007e-78	25/25	TIAL1,FXR1,IL6,PUM1,TRUB1,ELAVL1,BMP4,DND1,MECP2,LIN28A,TGFB1,MAEL,RIPK1,ZFP36,FMR1,BCDIN3D,ADAR,LIN28B,STAT3,ZMPSTE24,PUM2,TP53,TRIM71,ZC3H10,DGCR8	GO:1900368	regulation of post-transcriptional gene silencing by regulatory ncRNA	2.464323072908448e-26	12/25	TIAL1,TGFB1,IL6,MAEL,ZMPSTE24,PUM2,RIPK1,FMR1,ELAVL1,BMP4,LIN28B,ZFP36	GO:0045986	negative regulation of smooth muscle contraction	0.1176942897854091	2/12	ADORA2B,PTGS2
GO:2000524	LILRB2 LILRB4 CD160	3	negative regulation of T cell costimulation	LILRB4 RIPK1 RASSF2	ATOH7 DRAM1 TOGARAM2	GO:2000524	negative regulation of T cell costimulation	6.739524525490562e-10	3/3	CD160,LILRB4,LILRB2	GO:0002761	regulation of myeloid leukocyte differentiation	0.0002296669377558	3/126	LILRB4,RASSF2,RIPK1	GO:1902669	positive regulation of axon guidance	0.0514507206490329	1/3	ATOH7
GO:2000556	IL18 ARID5A TBX21 SLAMF1 IL1R1 IL1B XCL1 IL18R1	8	positive regulation of T-helper 1 cell cytokine production	IL18 XCL1 SLAMF1 IL1R1 RPS6KA3 OR9Q1 OR52M1 ZFP36	PTH2 MGAT4C POM121 KRTAP4-9 DEFA1 SRPRA U2AF1 F2	GO:2000556	positive regulation of T-helper 1 cell cytokine production	6.723792063405313e-27	8/8	IL18R1,ARID5A,SLAMF1,IL1R1,XCL1,IL1B,IL18,TBX21	GO:2000556	positive regulation of T-helper 1 cell cytokine production	1.2486886934809656e-09	4/8	SLAMF1,IL1R1,XCL1,IL18	GO:0051873	killing by host of symbiont cells	0.0332540265504738	2/28	F2,DEFA1
GO:0120253	CYP2F1 BCO1 BCO2	3	hydrocarbon catabolic process	CYP2F1 NUF2 BTBD1	MORC3 ZNF627 EHMT1	GO:0120253	hydrocarbon catabolic process	9.853817447016887e-11	3/3	BCO1,CYP2F1,BCO2	GO:0120253	hydrocarbon catabolic process	0.0814096901315986	1/3	CYP2F1	GO:2001141	regulation of RNA biosynthetic process	0.0653239801094767	3/3358	MORC3,EHMT1,ZNF627
GO:0090100	SOX11 GDF5 TGFB3 NOTCH1 AMH TNXB FERMT1 TGFBR3 CSNK2B GDF2 BMP2 GATA6 CCN1 NUMA1 SMAD2 TWSG1 EP300 GIPC1 MSX1 NODAL CDH5 FKBP8 MSX2 ZNF423 LRG1 MEN1 SULF1 BMP10 GDF7 GATA4 SH2B1 ZC3H3 SLC2A10 ING2 BMP5 FLCN FBXL15 ACVR2B BMP6 HIPK2 FGF9 BMPR1A RNF111 BMP7 BMP4 UBE2O BMPR2 ACVR1B THBS1 ILK TGFBR2 GPC3 CDKN2B MYOCD ARK2C HES1 GDF6 TGFBR1 INHBA CITED2 AXIN1 KDR PELO STK11 ACVR1 ADISSP JAK2 PARP1 HFE DAB2 SDCBP NUP93 KCP CREBBP TGFB1 CRB2 HSP90AB1 TGFB1I1 TGFB2 BMPER KIAA0319 HES5 ACVR2A ITGA8 NOTCH2 CITED1 ENG NEO1 ELAPOR2 CDKN1C RBPJ ACVRL1 ZEB2 FOXD1 TBX20 SCUBE3 TSC22D1 NPNT SMAD4 SNW1	100	positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	CDH5 BMP6 SH2B1 MSX2 ING2 ZC3H3 BMP4 TSC22D1 SCUBE3 CITED1 TGFB2 HFE EP300 JAK2 GDF7 GPC3 GATA4 MEN1 GATA6 TGFB3 ACVR2B RBPJ GDF6 SULF1 ITGA8 CITED2 FERMT1 NUP93 MSX1 KDR ZNF423 FGF9 ADISSP PARP1 NOTCH1 SNW1 ARK2C TGFBR3 SMAD2 GDF2 NOTCH2 CDKN1C BMPER CCN1 GIPC1 ACVR1B NPNT THBS1 FKBP8 KCP OR5I1 SMC3 ZNF143 ZNF514 PLIN3 CYP2A6 GABARAPL1 MAP1S PMF1 GALNT15 ZBTB48 ANKRD13C RBM27 FLRT1 APEH CD300LG KRT33B COG5 CPLX1 ABCA5 C2CD6 NGEF KIF12 ZNF132 TRAK1 CFL1 FTL ZNF80 DES DUSP7 RNF170 B4GALNT1 PA2G4 ACAD9 ANXA7 KCNMB2 OR2L2 INSL4 PCDHGB3 TRPM6 KIF24 PTPN13 CDK5RAP2 LMNA SYNRG ALOXE3 DEFA4 PSEN2 RBMXL3 VDAC1	KLRC4-KLRK1 SMC1A POU5F1 RAB1A TMPRSS4 COLGALT1 DCAF8 ATOH7 EED RBM39 TMCO1 ZNF213 LILRB1 MIS18A OBI1 SGSH ZNF737 ZNF101 ATG4C ABCD4 FBXL7 ZC4H2 CBX4 DUSP18 CYSLTR2 LYZL2 OSER1 CCDC103 TAGLN2 SCUBE2 GABRB1 ZNF44 ZSCAN23 BOP1 ZBTB40 KRIT1 NECAP2 KCNMB3 MMD ETV6 MRTO4 ANXA1 LHFPL3 ASAH2B ATP11B LOC107984156 ZNF514 OR4D10 ACO2 ZSCAN12 ODAD3 WRNIP1 SSX2 NISCH RBBP5 CC2D2A SAPCD2 ZNF48 BLOC1S5 RAB2A CARHSP1 CXCL5 ZNF593 SNCG SESN1 P3H3 MARCHF11 RIOK1 GPR87 TLN2 DNALI1 TBC1D32 SELENOO GMFB PRM2 CTBP1 ZNF749 GABRA4 HIGD2A DNAJA4 LCN6 KLK7 SCYL1 C3orf33 DUSP23 TMEM203 CHAF1A DAGLB FOXD4L4 VEZT DHX29 TNFSF13B UFSP2 TPPP3 CTAG1B DONSON POM121 UBR7 OR52K1 ECEL1	GO:0090100	positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	3.853714689320157e-262	100/100	MSX2,SMAD2,BMP10,GDF7,CREBBP,RNF111,BMPR2,JAK2,CITED2,FBXL15,CCN1,ACVR1B,NPNT,HIPK2,BMP2,MYOCD,GDF2,PARP1,FOXD1,TGFB1I1,BMP7,GPC3,ADISSP,ACVR2B,HFE,GATA4,ACVR2A,KDR,CSNK2B,CDKN2B,BMPR1A,BMP4,HSP90AB1,LRG1,CDKN1C,ILK,SDCBP,EP300,ARK2C,GATA6,TGFBR3,INHBA,NUP93,BMPER,GIPC1,TNXB,TGFBR2,TGFB2,ENG,UBE2O,MSX1,NODAL,BMP6,TBX20,TSC22D1,SMAD4,MEN1,CDH5,STK11,FLCN,NEO1,TGFB1,FGF9,ACVR1,KCP,SNW1,ZEB2,ING2,AMH,HES1,ACVRL1,DAB2,SLC2A10,PELO,FERMT1,BMP5,AXIN1,GDF5,NOTCH2,ELAPOR2,ZC3H3,SOX11,FKBP8,SULF1,TWSG1,NOTCH1,CITED1,SH2B1,TGFB3,SCUBE3,CRB2,ITGA8,ZNF423,KIAA0319,RBPJ,TGFBR1,HES5,THBS1,GDF6,NUMA1	GO:0090100	positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway	2.788938643054548e-86	50/100	KDR,ZC3H3,MSX2,SMAD2,GDF7,BMP6,FKBP8,BMP4,SULF1,JAK2,TSC22D1,CITED2,MEN1,CCN1,CDH5,ACVR1B,NOTCH1,CITED1,NPNT,CDKN1C,SH2B1,TGFB3,SCUBE3,EP300,FGF9,KCP,SNW1,GDF2,ARK2C,ING2,ITGA8,GATA6,ZNF423,TGFBR3,PARP1,RBPJ,NUP93,BMPER,ADISSP,GPC3,ACVR2B,GIPC1,FERMT1,HFE,TGFB2,THBS1,GATA4,GDF6,NOTCH2,MSX1	GO:0036158	outer dynein arm assembly	0.5867226339229366	3/24	CCDC103,ODAD3,NISCH
